"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.251395030E-1,7.075081825E0,-3.040728867E-1,8.643332124E-1
6.271408360E-1,7.024802208E0,-2.585816681E-1,8.834874034E-1
6.291421690E-1,7.010436535E0,-2.490045726E-1,8.906702399E-1
6.311435020E-1,6.979310989E0,-2.011190802E-1,9.050358534E-1
6.331448680E-1,6.945791245E0,-1.675992310E-1,9.409499764E-1
6.351517680E-1,6.929031372E0,-1.652049571E-1,9.457385540E-1
6.371530010E-1,6.943397045E0,-1.221080124E-1,9.768640995E-1
6.391544340E-1,6.905088425E0,-8.140534163E-2,9.744698405E-1
6.411557670E-1,6.893116951E0,-6.703969836E-2,9.936240315E-1
6.431571000E-1,6.902694225E0,-4.309694469E-2,1.010383964E0
6.451584660E-1,6.917059898E0,-9.577099234E-3,1.041509509E0
6.471597990E-1,6.919454098E0,0.000000000E0,1.039115310E0
6.491611320E-1,6.945791245E0,2.633702382E-2,1.067846537E0
6.511624980E-1,6.929031372E0,4.070267081E-2,1.077423692E0
6.531638310E-1,6.952973843E0,3.830839694E-2,1.096577883E0
6.551651640E-1,6.981705189E0,4.788549617E-2,1.108549237E0
6.571661300E-1,7.003253937E0,4.788549617E-2,1.106154919E0
6.591674630E-1,7.031985283E0,5.267404765E-2,1.151646137E0
6.611691290E-1,7.106207848E0,3.830839694E-2,1.163617611E0
6.631704290E-1,7.139727592E0,3.830839694E-2,1.166011810E0
6.651717620E-1,7.201978683E0,3.591412306E-2,1.194743156E0
6.671730950E-1,7.259441376E0,4.309694469E-2,1.209108829E0
6.691741610E-1,7.295355320E0,3.112557158E-2,1.221080184E0
6.711754940E-1,7.362394810E0,-7.182824425E-3,1.235445857E0
6.731768270E-1,7.422251701E0,-3.830839694E-2,1.249811411E0
6.751782600E-1,7.498868465E0,-8.140534163E-2,1.268965602E0
6.771795930E-1,7.594639778E0,-1.149251908E-1,1.280937076E0
6.791809260E-1,7.635342598E0,-1.292908341E-1,1.292908430E0
