"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.522450730E-1,-6.203947589E-2,3.938474059E-1,5.967298150E-2
3.542464060E-1,-5.715255439E-2,3.480325341E-1,6.028384715E-2
3.562474390E-1,-6.142860651E-2,3.248196542E-1,5.906211957E-2
3.582488050E-1,-6.265033782E-2,2.680091858E-1,5.600779131E-2
3.602503710E-1,-7.242418826E-2,2.142530382E-1,5.661865696E-2
3.622514370E-1,-6.875899434E-2,1.843206435E-1,5.661865696E-2
3.642528030E-1,-7.608937472E-2,1.293427795E-1,5.356433243E-2
3.662541360E-1,-8.036543429E-2,7.008884102E-2,4.745567590E-2
3.682551690E-1,-8.403062075E-2,3.832385316E-2,4.928827286E-2
3.702565350E-1,-8.586321771E-2,-2.581699751E-2,4.379048571E-2
3.722578680E-1,-9.136100858E-2,-5.147333816E-2,4.440135136E-2
3.742592010E-1,-1.005239859E-1,-1.156141907E-1,4.134702682E-2
3.762605670E-1,-1.066326350E-1,-1.712029278E-1,3.584923968E-2
3.782619000E-1,-1.121304259E-1,-2.023570538E-1,3.340577707E-2
3.802632330E-1,-1.194608063E-1,-2.567240596E-1,2.607539296E-2
3.822645990E-1,-1.274020523E-1,-3.062041402E-1,2.118847333E-2
3.842659320E-1,-1.298455149E-1,-3.336930871E-1,1.691241376E-2
3.862697320E-1,-1.371759027E-1,-3.764536381E-1,1.691241376E-2
3.882711320E-1,-1.432845443E-1,-4.173816144E-1,5.305975210E-3
3.902724650E-1,-1.432845443E-1,-4.344858527E-1,2.862514462E-3
3.922737310E-1,-1.451171488E-1,-4.644182324E-1,-4.467868246E-3
3.942747970E-1,-1.438954175E-1,-4.735811949E-1,-9.965655394E-3
3.962761300E-1,-1.475606114E-1,-4.974049628E-1,-1.240911707E-2
3.982774630E-1,-1.500040740E-1,-5.126765966E-1,-2.157209627E-2
4.002788630E-1,-1.408410966E-1,-5.200069547E-1,-2.523728833E-2
4.022801960E-1,-1.438954175E-1,-5.255047679E-1,-3.745459020E-2
4.042814960E-1,-1.408410966E-1,-5.218396187E-1,-4.845016450E-2
4.062828620E-1,-1.414519548E-1,-5.187852979E-1,-5.028276145E-2
4.102805610E-1,-1.420628130E-1,-4.912963212E-1,-6.616526097E-2
4.122818940E-1,-1.377867609E-1,-4.790790081E-1,-6.616526097E-2
4.142832270E-1,-1.390084922E-1,-4.552552700E-1,-7.288477570E-2
4.162848600E-1,-1.365650296E-1,-4.277663231E-1,-8.082602918E-2
4.182861930E-1,-1.396193504E-1,-4.051643014E-1,-8.754553646E-2
4.202875260E-1,-1.347324401E-1,-3.746210635E-1,-9.426505864E-2
4.222891590E-1,-1.377867609E-1,-3.617928624E-1,-9.670852125E-2
4.242904920E-1,-1.322889775E-1,-3.269735575E-1,-9.609765559E-2
4.262918250E-1,-1.310672462E-1,-2.939868569E-1,-9.915198386E-2
4.282934250E-1,-1.316781193E-1,-2.805477977E-1,-1.046497673E-1
4.302944250E-1,-1.255694628E-1,-2.445067614E-1,-1.022063047E-1
4.322964250E-1,-1.255694628E-1,-2.212938666E-1,-1.095366925E-1
4.342977910E-1,-1.249585971E-1,-2.060222477E-1,-1.083149537E-1
4.362991240E-1,-1.219042689E-1,-1.742572486E-1,-1.095366925E-1
4.383004570E-1,-1.121304259E-1,-1.431031227E-1,-1.077040955E-1
4.403018230E-1,-1.121304259E-1,-1.308858246E-1,-1.132018790E-1
4.423031560E-1,-1.121304259E-1,-1.052294746E-1,-1.107584238E-1
4.443044890E-1,-1.090760976E-1,-9.117957950E-2,-1.101475507E-1
4.483043880E-1,-9.808052331E-2,-4.047776386E-2,-1.101475507E-1
4.503057210E-1,-9.624792635E-2,-2.154094167E-2,-1.132018790E-1
4.523070870E-1,-9.746965766E-2,-2.604118548E-3,-1.113692820E-1
4.543087200E-1,-9.563706070E-2,1.999789663E-2,-1.138127446E-1
4.563100530E-1,-9.197186679E-2,3.221520409E-2,-1.144236177E-1
4.583114190E-1,-8.708494902E-2,5.542808026E-2,-1.138127446E-1
4.603127520E-1,-8.280888945E-2,7.497576624E-2,-1.095366925E-1
4.623140850E-1,-7.975456864E-2,8.230615407E-2,-1.113692820E-1
4.643157510E-1,-8.097629249E-2,9.635604918E-2,-1.138127446E-1
4.663169170E-1,-8.158716559E-2,1.079624966E-1,-1.119801477E-1
4.683182500E-1,-7.547850907E-2,1.134602800E-1,-1.125910208E-1
