"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.263588200E-1,1.797382164E1,-3.016786277E-1,-5.059102535E0
5.283602200E-1,1.806719780E1,-2.897072434E-1,-5.104593754E0
5.303615860E-1,1.826113319E1,-2.657645047E-1,-5.166844845E0
5.323629190E-1,1.835690498E1,-2.537931204E-1,-5.197970390E0
5.343629190E-1,1.852450371E1,-2.298503816E-1,-5.231490612E0
5.363643190E-1,1.866337204E1,-1.795706153E-1,-5.260221958E0
5.403647850E-1,1.890998268E1,-1.460507661E-1,-5.389512539E0
5.423661850E-1,1.905842781E1,-1.604164094E-1,-5.487678051E0
5.443674850E-1,1.917574692E1,-1.867534369E-1,-5.602602959E0
5.463688180E-1,1.925475883E1,-1.891477108E-1,-5.633728504E0
5.483702180E-1,1.938404846E1,-2.466102988E-1,-5.715134144E0
5.503708840E-1,1.945348358E1,-2.609759569E-1,-5.734288216E0
5.523721840E-1,1.958516884E1,-2.825244367E-1,-5.810904980E0
5.543735500E-1,1.965460205E1,-3.136500120E-1,-5.844424725E0
5.563748830E-1,1.972164154E1,-3.495641351E-1,-5.935407162E0
5.583762160E-1,1.979347038E1,-4.046324492E-1,-6.014418125E0
5.603775490E-1,1.984375000E1,-4.189980924E-1,-6.064698219E0
5.623791820E-1,1.994430923E1,-4.932205975E-1,-6.177228928E0
5.643805150E-1,2.002092552E1,-5.243461728E-1,-6.239480019E0
5.663818480E-1,2.006162834E1,-5.363175869E-1,-6.294548512E0
5.683831480E-1,2.012866783E1,-5.291347504E-1,-6.349617004E0
5.703844810E-1,2.022683334E1,-5.219519138E-1,-6.387925148E0
5.723861140E-1,2.025317001E1,-5.099805593E-1,-6.404685020E0
5.743874140E-1,2.033457565E1,-5.339232683E-1,-6.416656494E0
5.763887470E-1,2.042077065E1,-5.387118459E-1,-6.416656494E0
5.783900800E-1,2.045668411E1,-5.339232683E-1,-6.407079220E0
5.803935800E-1,2.056203270E1,-5.482889414E-1,-6.344828129E0
5.823949130E-1,2.064343834E1,-5.746259689E-1,-6.294548512E0
5.863929790E-1,2.097384644E1,-5.889915824E-1,-6.184412003E0
5.883943790E-1,2.104567528E1,-5.913859010E-1,-6.167652130E0
5.903956790E-1,2.117257118E1,-6.057515144E-1,-6.160469055E0
5.923969790E-1,2.131383514E1,-6.033572555E-1,-6.170046329E0
5.943983450E-1,2.138087463E1,-5.961744189E-1,-6.172440529E0
5.963996780E-1,2.156044388E1,-5.961744189E-1,-6.158074856E0
5.984010110E-1,2.174001503E1,-6.464542150E-1,-6.134131908E0
6.004024110E-1,2.182621002E1,-6.536370516E-1,-6.103006363E0
6.024037110E-1,2.201056862E1,-7.278595567E-1,-6.050332546E0
6.044050440E-1,2.221168709E1,-8.068706393E-1,-5.961744308E0
6.064064100E-1,2.232661247E1,-8.523618579E-1,-5.933012962E0
6.084077430E-1,2.254688644E1,-9.529213905E-1,-5.861184597E0
6.104090430E-1,2.264983940E1,-1.005595446E0,-5.849213123E0
6.124108430E-1,2.289166069E1,-1.091789365E0,-5.779779434E0
6.144121430E-1,2.312630081E1,-1.154040456E0,-5.736682415E0
6.164134760E-1,2.326037979E1,-1.245022893E0,-5.710345268E0
6.184148420E-1,2.342319107E1,-1.256994247E0,-5.664854050E0
6.204162080E-1,2.361473274E1,-1.177983165E0,-5.619362831E0
6.224175080E-1,2.370092583E1,-1.163617611E0,-5.597814560E0
6.244188410E-1,2.387570763E1,-1.211503029E0,-5.521197796E0
6.264217740E-1,2.400739288E1,-1.268965602E0,-5.463735104E0
6.284231070E-1,2.407203865E1,-1.285725594E0,-5.423032284E0
6.304244730E-1,2.416781044E1,-1.357553840E0,-5.382329941E0
6.324255390E-1,2.420611763E1,-1.369525194E0,-5.372752666E0
6.344269390E-1,2.424921608E1,-1.410227895E0,-5.372752666E0
6.364283050E-1,2.430188942E1,-1.450930476E0,-5.169239521E0
6.384296050E-1,2.432343864E1,-1.455719113E0,-5.171633720E0
6.424301710E-1,2.438329506E1,-1.371919513E0,-5.561900616E0
6.444315040E-1,2.436413956E1,-1.383890867E0,-5.540351868E0
6.464328370E-1,2.431625557E1,-1.424593568E0,-5.444581032E0
6.484341700E-1,2.426597595E1,-1.462901950E0,-5.353598595E0
6.504355030E-1,2.423006058E1,-1.472478986E0,-5.339232922E0
6.524365690E-1,2.410077095E1,-1.479661822E0,-5.332049847E0
6.544378690E-1,2.403133583E1,-1.498816013E0,-5.370358467E0
6.564392020E-1,2.384697723E1,-1.513181686E0,-5.456552505E0
6.584405680E-1,2.360276031E1,-1.513181686E0,-5.540351868E0
6.604419010E-1,2.346389389E1,-1.513181686E0,-5.595420361E0
6.624432670E-1,2.315982056E1,-1.539518714E0,-5.430215359E0
6.644446670E-1,2.276476479E1,-1.479661822E0,-5.746259689E0
6.664457000E-1,2.254928017E1,-1.429382086E0,-5.861184597E0
6.684470330E-1,2.202493477E1,-1.415016413E0,-5.913858891E0
6.704484330E-1,2.146706772E1,-1.398256540E0,-5.736682415E0
6.724493330E-1,2.118214989E1,-1.386285067E0,-5.662459850E0
6.744506990E-1,2.057160950E1,-1.333611012E0,-5.470917702E0
6.764520650E-1,2.022683334E1,-1.304879785E0,-5.403878212E0
6.784533980E-1,1.957798576E1,-1.240234375E0,-5.291347504E0
6.804547310E-1,1.896505165E1,-1.182771802E0,-5.188393593E0
6.824560970E-1,1.865858269E1,-1.168406129E0,-5.104593754E0
6.844574300E-1,1.816536331E1,-1.094183564E0,-4.946571827E0
6.884585620E-1,1.731300163E1,-9.505270720E-1,-5.145296574E0
6.904598950E-1,1.663542175E1,-8.930644989E-1,-4.934600353E0
6.924612280E-1,1.600333214E1,-8.499675393E-1,-4.491659641E0
6.944625940E-1,1.590756226E1,-8.571503758E-1,-4.319271564E0
6.964639270E-1,1.567052841E1,-7.805336118E-1,-4.367157459E0
6.984652600E-1,1.529223347E1,-7.134938836E-1,-4.379128456E0
7.004685260E-1,1.507435417E1,-6.799740195E-1,-4.235472202E0
7.024698590E-1,1.476549244E1,-7.733507752E-1,-3.948159218E0
7.044711920E-1,1.462183666E1,-7.470137477E-1,-3.761405706E0
7.064725250E-1,1.436325455E1,-5.339232683E-1,-3.560286522E0
7.084738580E-1,1.420044422E1,-4.046324492E-1,-3.517189741E0
7.104799240E-1,1.408791256E1,-3.232271075E-1,-3.450150013E0
7.124815900E-1,1.400650787E1,-1.747820675E-1,-3.234665155E0
7.144829560E-1,1.393228531E1,-1.436564922E-1,-2.870735407E0
7.164842890E-1,1.384609127E1,-1.221080124E-1,-2.506805658E0
7.184856220E-1,1.348216152E1,4.309694469E-2,-2.535537004E0
7.204869550E-1,1.308471203E1,1.891477108E-1,-2.621730804E0
7.224883210E-1,1.288119888E1,2.083019018E-1,-2.636096478E0
7.244896540E-1,1.242389202E1,1.819648892E-1,-2.485257149E0
7.264945870E-1,1.186123753E1,1.292908341E-1,-2.293715239E0
7.284963200E-1,1.154040432E1,1.245022863E-1,-2.214704275E0
7.304976200E-1,1.102084732E1,1.340793967E-1,-1.781340480E0
7.324989530E-1,1.075747681E1,2.011190802E-1,-1.733454943E0
7.345003190E-1,1.012299347E1,4.070267081E-1,-2.104567528E0
7.365016190E-1,9.500482559E0,5.387118459E-1,-2.384697676E0
7.385029520E-1,9.232323647E0,5.937801600E-1,-2.406246185E0
7.405043180E-1,8.794171333E0,5.842030644E-1,-2.367937803E0
7.425056840E-1,8.353624344E0,4.692778587E-1,-2.257801056E0
7.445067840E-1,8.090254784E0,4.094209969E-1,-2.183578730E0
7.465081170E-1,7.465348721E0,3.471698463E-1,-2.078230619E0
7.485094500E-1,7.149304390E0,3.854782581E-1,-2.032739401E0
7.505107830E-1,6.519610405E0,4.261809289E-1,-2.013585091E0
7.525121490E-1,5.856396198E0,5.243461728E-1,-2.030344963E0
7.545134490E-1,5.533169270E0,5.626545548E-1,-2.035133600E0
7.565154820E-1,4.925023079E0,6.464542150E-1,-2.042316437E0
7.585168820E-1,4.362368584E0,7.254652381E-1,-1.980065227E0
7.625175820E-1,3.562680960E0,8.499675393E-1,-1.824437380E0
7.645189480E-1,3.050306082E0,9.170072675E-1,-1.687963724E0
7.665202810E-1,2.810878515E0,9.696813226E-1,-1.613741279E0
7.685216140E-1,2.375120640E0,1.015172482E0,-1.450930476E0
7.725195800E-1,1.695146561E0,1.065452337E0,-1.228263021E0
7.745209130E-1,1.240234375E0,1.070240855E0,-1.065452337E0
7.765229790E-1,1.048692346E0,1.065452337E0,-9.864411950E-1
7.785243120E-1,6.320885420E-1,1.082212210E0,-8.188419938E-1
7.805256450E-1,2.226675600E-1,1.091789365E0,-7.039167881E-1
7.825269780E-1,1.675992459E-2,1.118126392E0,-6.464542150E-1
7.845283110E-1,-3.711125851E-1,1.113337755E0,-5.458946824E-1
7.885277770E-1,-9.170072675E-1,1.084606528E0,-4.333637357E-1
7.905291100E-1,-1.367130876E0,1.082212210E0,-3.375927508E-1
7.925304760E-1,-1.845985889E0,1.077423692E0,-2.322446555E-1
7.945318090E-1,-2.075836182E0,1.082212210E0,-1.675992310E-1
7.965329090E-1,-2.509200096E0,1.034326673E0,-4.309694469E-2
7.985342750E-1,-2.729473352E0,9.960182905E-1,9.577099234E-3
8.005356080E-1,-3.124528646E0,9.553156495E-1,1.508393139E-1
8.025369080E-1,-3.445361376E0,9.241901040E-1,2.825244367E-1
8.045385080E-1,-3.577046633E0,9.313728809E-1,3.639297783E-1
8.065398740E-1,-3.799714088E0,9.265843630E-1,5.530774593E-1
8.085412070E-1,-3.912245035E0,8.715160489E-1,6.727912426E-1
8.105425730E-1,-4.019987583E0,8.547561169E-1,7.110996246E-1
8.125439060E-1,-4.405465603E0,7.925049663E-1,7.110996246E-1
8.145452720E-1,-4.805309772E0,6.368771195E-1,7.278595567E-1
8.165459050E-1,-4.901080608E0,5.698373914E-1,7.182824612E-1
8.185469380E-1,-5.073468208E0,3.543526828E-1,7.254652381E-1
8.205482710E-1,-5.219519138E0,1.436564922E-1,7.374366522E-1
8.225493710E-1,-5.272192955E0,5.027977005E-2,7.398309112E-1
8.245507040E-1,-5.320078850E0,-1.268965602E-1,7.134938836E-1
8.265518040E-1,-5.327261448E0,-2.202732861E-1,7.134938836E-1
8.285531700E-1,-5.379935265E0,-3.304099143E-1,6.991282701E-1
8.305545360E-1,-5.432609558E0,-3.974496126E-1,6.991282701E-1
8.325558690E-1,-5.442186832E0,-4.309694767E-1,7.374366522E-1
8.345572350E-1,-5.348809719E0,-4.740664065E-1,7.350423932E-1
8.365578350E-1,-5.269798756E0,-4.908263385E-1,7.350423932E-1
8.385591350E-1,-5.190787792E0,-5.195576549E-1,7.374366522E-1
8.405605010E-1,-5.001639843E0,-5.650488734E-1,7.110996246E-1
8.425615340E-1,-4.817280769E0,-5.865973234E-1,6.608198285E-1
8.445628670E-1,-4.601796150E0,-5.937801600E-1,6.344828010E-1
8.465635000E-1,-4.477293968E0,-6.129343510E-1,6.105400920E-1
8.485654330E-1,-4.371945858E0,-6.249057055E-1,5.913859010E-1
8.505667990E-1,-4.185192585E0,-6.177229285E-1,5.339232683E-1
8.525681650E-1,-3.938581944E0,-6.320885420E-1,4.644893110E-1
8.545694980E-1,-3.792531252E0,-6.656084061E-1,4.740664065E-1
8.565710980E-1,-3.490852594E0,-6.799740195E-1,4.453351200E-1
