"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.223660110E-1,3.569896147E-2,8.886482716E-1,1.445832551E-1
5.243671110E-1,4.791627079E-2,8.800961375E-1,1.464158446E-1
5.263677110E-1,5.830097944E-2,8.648245335E-1,1.464158446E-1
5.283693110E-1,6.196616963E-2,8.648245335E-1,1.433615237E-1
5.303706440E-1,6.196616963E-2,8.611593843E-1,1.433615237E-1
5.323719770E-1,6.440962851E-2,8.574941158E-1,1.403071880E-1
5.343738770E-1,6.868569553E-2,8.605484366E-1,1.366419941E-1
5.363752100E-1,7.479434460E-2,8.519963622E-1,1.390854716E-1
5.383765430E-1,7.112915069E-2,8.544397950E-1,1.366419941E-1
5.403779090E-1,6.990741938E-2,8.593267202E-1,1.390854716E-1
5.423792420E-1,7.601606846E-2,8.532180786E-1,1.354202777E-1
5.443805750E-1,7.418347150E-2,8.581050634E-1,1.372528672E-1
5.463819410E-1,7.968126237E-2,8.587158918E-1,1.372528672E-1
5.483832740E-1,7.907039672E-2,8.550506830E-1,1.287007630E-1
5.503846070E-1,8.090299368E-2,8.519963622E-1,1.335876733E-1
5.523881400E-1,7.723779976E-2,8.532180786E-1,1.268681586E-1
5.543894730E-1,8.151385188E-2,8.538289666E-1,1.256464273E-1
5.563905730E-1,8.029212803E-2,8.526072502E-1,1.274790317E-1
5.583919390E-1,7.662694156E-2,8.434442878E-1,1.207595095E-1
5.603932720E-1,7.357260585E-2,8.440551162E-1,1.189269125E-1
5.623948380E-1,7.051828504E-2,8.385573030E-1,1.140399873E-1
5.663949380E-1,5.891184136E-2,8.287835121E-1,1.060987413E-1
5.683962710E-1,5.158146471E-2,8.312269449E-1,1.042661443E-1
5.703976370E-1,4.119675234E-2,8.183987141E-1,1.030444205E-1
5.723989700E-1,3.753155842E-2,8.196204901E-1,1.018226817E-1
5.744003030E-1,2.775771730E-2,8.135118484E-1,9.693576396E-2
5.764029030E-1,2.348166145E-2,7.933532596E-1,9.632489830E-2
5.784042360E-1,1.554041170E-2,7.860229015E-1,9.143797308E-2
5.804055690E-1,8.210028522E-3,7.695295215E-1,8.471845835E-2
5.824069020E-1,4.544837400E-3,7.609773874E-1,8.899451792E-2
5.844084680E-1,-3.420845314E-4,7.420405746E-1,8.471845835E-2
5.864098010E-1,-5.839871708E-3,7.279907465E-1,8.349672705E-2
5.884111340E-1,-1.255938876E-2,7.255472541E-1,8.594018221E-2
5.904124670E-1,-1.439198479E-2,7.176060081E-1,8.777277917E-2
5.924138330E-1,-1.744631119E-2,7.188277841E-1,8.349672705E-2
5.944146330E-1,-1.439198479E-2,7.157734632E-1,8.960537612E-2
5.964159660E-1,-2.111150324E-2,7.059995532E-1,9.327057004E-2
5.984173320E-1,-2.722015604E-2,6.937822700E-1,9.388143569E-2
6.004186650E-1,-2.660928853E-2,6.852301359E-1,9.204884619E-2
6.024199980E-1,-2.966361679E-2,6.699584723E-1,9.327057004E-2
6.044213640E-1,-3.088534810E-2,6.681259274E-1,9.510316700E-2
6.064226970E-1,-3.332880884E-2,6.656824350E-1,1.030444205E-1
6.084240300E-1,-2.783101983E-2,6.644607782E-1,1.122073904E-1
6.104253960E-1,-3.271793947E-2,6.705694199E-1,1.158725843E-1
6.144301620E-1,-4.065919295E-2,6.565194726E-1,1.164834499E-1
6.164317620E-1,-4.127005860E-2,6.528543234E-1,1.170943156E-1
6.184330950E-1,-5.226562917E-2,6.455239058E-1,1.244246960E-1
6.204341950E-1,-6.081774458E-2,6.345283389E-1,1.299224794E-1
6.224355610E-1,-6.081774458E-2,6.302522421E-1,1.299224794E-1
6.244368940E-1,-5.959601328E-2,6.369718313E-1,1.366419941E-1
6.264379940E-1,-6.387206912E-2,6.369718313E-1,1.360311359E-1
6.284393600E-1,-6.570466608E-2,6.326957345E-1,1.421397924E-1
6.304406930E-1,-6.020687893E-2,6.406369805E-1,1.427506506E-1
6.324420260E-1,-6.692639738E-2,6.418586969E-1,1.433615237E-1
6.344495920E-1,-6.387206912E-2,6.443021894E-1,1.470267177E-1
6.364502250E-1,-6.509380043E-2,6.436913013E-1,1.494701654E-1
6.384515580E-1,-5.593081936E-2,6.443021894E-1,1.549679637E-1
6.404529240E-1,-5.531995744E-2,6.449130177E-1,1.592440158E-1
6.424542570E-1,-4.921130463E-2,6.436913013E-1,1.549679637E-1
6.444555900E-1,-5.226562917E-2,6.498000026E-1,1.574114263E-1
6.464569560E-1,-5.226562917E-2,6.436913013E-1,1.610766202E-1
6.484582890E-1,-4.860043898E-2,6.436913013E-1,1.635200828E-1
6.504596220E-1,-4.432438314E-2,6.394152641E-1,1.604657471E-1
6.524606880E-1,-4.860043898E-2,6.302522421E-1,1.653526723E-1
6.544620210E-1,-4.432438314E-2,6.302522421E-1,1.635200828E-1
6.564633540E-1,-4.860043898E-2,6.192567348E-1,1.659635305E-1
6.584646870E-1,-4.676784202E-2,6.088719964E-1,1.616874784E-1
6.604660200E-1,-5.348736048E-2,6.003198624E-1,1.598548889E-1
6.624673860E-1,-4.860043898E-2,5.881025791E-1,1.592440158E-1
6.644687190E-1,-5.654168874E-2,5.783287287E-1,1.580222994E-1
6.664700520E-1,-5.348736048E-2,5.661114454E-1,1.537462324E-1
