"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.268761140E-1,1.987999827E-1,-9.647168517E-1,-1.712340862E-1
6.288774470E-1,1.926913261E-1,-9.488344193E-1,-1.657363027E-1
6.308787800E-1,1.987999827E-1,-9.470017552E-1,-1.608493626E-1
6.328798130E-1,2.024651766E-1,-9.433366060E-1,-1.559624523E-1
6.348811460E-1,1.987999827E-1,-9.329519272E-1,-1.498537958E-1
6.368824790E-1,1.981891245E-1,-9.243997931E-1,-1.425234079E-1
6.388838450E-1,1.939130723E-1,-9.109607339E-1,-1.425234079E-1
6.408851780E-1,1.871935427E-1,-9.048520923E-1,-1.364147663E-1
6.428865440E-1,1.896370053E-1,-9.030194879E-1,-1.333604306E-1
6.448937100E-1,1.871935427E-1,-9.011868834E-1,-1.248083189E-1
6.468952430E-1,1.878044158E-1,-9.036303759E-1,-1.241974533E-1
6.488966090E-1,1.933021992E-1,-9.134041667E-1,-1.174779385E-1
6.528968420E-1,2.018543035E-1,-9.292866588E-1,-1.028171703E-1
6.548982080E-1,2.085738182E-1,-9.421148896E-1,-9.548678994E-2
6.568995410E-1,2.159042060E-1,-9.549430609E-1,-8.815640956E-2
6.589008740E-1,2.152933478E-1,-9.622734189E-1,-8.815640956E-2
6.609022400E-1,2.220128626E-1,-9.769341946E-1,-8.388034999E-2
6.629038730E-1,2.268997729E-1,-1.003201365E0,-7.349564135E-2
6.649052060E-1,2.317867130E-1,-1.019083858E0,-7.166304439E-2
6.669064060E-1,2.397279441E-1,-1.047794580E0,-6.860871613E-2
6.689077390E-1,2.397279441E-1,-1.060011864E0,-6.311093271E-2
6.709090720E-1,2.427822948E-1,-1.067342281E0,-5.822401121E-2
6.729104380E-1,2.446148843E-1,-1.088722587E0,-5.883487687E-2
6.749117710E-1,2.415605485E-1,-1.092387676E0,-5.455881730E-2
6.769131040E-1,2.317867130E-1,-1.103994131E0,-5.028276145E-2
6.789144700E-1,2.317867130E-1,-1.101550698E0,-4.356324300E-2
6.809158030E-1,2.311758399E-1,-1.102161527E0,-4.050891846E-2
6.829171360E-1,2.452257425E-1,-1.091776848E0,-2.645901591E-2
6.849185020E-1,2.580539286E-1,-1.070396662E0,-2.635272685E-3
6.869204020E-1,2.629408240E-1,-1.075283408E0,3.473379882E-3
6.889217350E-1,2.635516822E-1,-1.100939870E0,8.360302076E-3
6.909231010E-1,2.641625702E-1,-1.129039645E0,1.141462848E-2
6.929247340E-1,2.617191076E-1,-1.143089533E0,1.141462848E-2
6.949260670E-1,2.641625702E-1,-1.171800137E0,2.241020277E-2
6.969274330E-1,2.574430406E-1,-1.179130673E0,2.118847333E-2
6.989290660E-1,2.543887198E-1,-1.188904405E0,2.974058501E-2
